ID,Geo Response,Is the bakery functional?,What is the price of a bag of bread (7-8 loaves)?,How would you describe the traffic at this bakery?,Does it look like the bakery has been damaged in the past 2 weeks?,Have you seen people being turned away from the bakery/has the bakery run out of bread in the past 2 weeks?
None,POINT (37.1204745769501 36.1768904172728),"No, it appears closed   ",0.0,Closed   ,Yes   ,Yes   
None,POINT (37.124605178833 36.1815581798937),"No, it appears destroyed   ",0.0,Closed   ,Yes   ,Yes   
None,POINT (37.1326196193695 36.1807095164665),Yes   ,40.0,Works with the Council   ,No   ,Yes   
None,POINT (37.132523059845 36.1821210638303),Yes   ,15.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1293902397156 36.1740194752436),"No, it appears destroyed   ",0.0,Closed   ,Yes   ,Yes   
None,POINT (37.15107858181 36.1833853730042),Yes   ,40.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1764576435089 36.208450850884),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.161700129509 36.211917826569),Yes   ,15.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1601980924606 36.2032868932464),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1611797809601 36.2045854896804),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1576017141342 36.2099311514273),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1556115150452 36.2066069285901),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1580255031586 36.2105198011719),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1625852584839 36.2109829269028),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1574944257736 36.2070527635494),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1595168113708 36.20810457771),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1645486354828 36.2076371064949),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1592915058136 36.1902391322799),Yes   ,75.0,Works with the Council   ,No   ,No   
None,POINT (37.1598440408707 36.1912305613812),Yes   ,75.0,Works with the Council   ,No   ,No   
None,POINT (37.1542811393738 36.2001182275315),"No, it appears closed   ",0.0,Somewhat busy   ,No   ,No   
None,POINT (37.1596777439117 36.193338930011),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1603804826736 36.1922782588431),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1757280826569 36.2036158730473),Yes   ,75.0,Works with the Council   ,No   ,No   
None,POINT (37.1751219034195 36.2041223260906),Yes   ,75.0,Works with the Council   ,No   ,No   
None,POINT (37.1360635757446 36.2353775530845),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1327590942383 36.2340967756451),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1828627586365 36.2015337538861),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.159715294838 36.1845284294871),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1641087532043 36.1858100184353),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1904373168945 36.1953520010835),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1877551078796 36.1954385836247),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1827554702759 36.1951961522682),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1768760681152 36.200148529587),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1836566925049 36.2031267315271),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.18421459198 36.2009623518329),"No, it appears closed   ",0.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1819615364075 36.1998195352138),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1809959411621 36.2008844330479),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1718871593475 36.2050746220846),Yes   ,75.0,Works with the Council   ,Yes   ,Yes   
None,POINT (37.1756100654602 36.2079747248748),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1799552440643 36.2112988896136),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1830666065216 36.2082777144885),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1886992454529 36.2098965248338),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1995085477829 36.2032825645556),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.2051572799683 36.2111084464886),Yes   ,75.0,Works with the Council   ,Yes   ,Yes   
None,POINT (37.1907538175583 36.2082387587468),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1899652481079 36.2082950281453),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1232104301453 36.2263640688839),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.142978310585 36.2254899263407),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1365946531296 36.2177174175042),Yes   ,15.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1286445856094 36.2243301577877),Yes   ,15.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.109831571579 36.2152028715356),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.1567004919052 36.2089096604795),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1613675355911 36.2103293561508),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1617645025253 36.206723798194),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1621561050415 36.2067194696933),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1626549959183 36.2049231212242),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1654713153839 36.2045898182991),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.163679599762 36.1950835945975),Yes   ,75.0,Works with the Council   ,No   ,No   
None,POINT (37.1913439035416 36.2078232296281),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.192690372467 36.2094983179078),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1949970722198 36.2099051814836),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1942138671875 36.2066588706578),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.2030115127563 36.2085980165189),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1966707706451 36.201074901052),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1861672401428 36.2089789145244),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.182229757309 36.2080006954591),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1786677837372 36.2102427900789),Yes   ,70.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1786892414093 36.2016982476434),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1835494041443 36.1984602543314),Yes   ,75.0,Works with the Council   ,Yes   ,Yes   
None,POINT (37.1731477975845 36.1877756580348),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1750682592392 36.1884207580766),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1770960092545 36.1893775745276),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1566092967987 36.1847275967134),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1519637107849 36.1858966115269),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.148745059967 36.1885809498808),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1486806869507 36.1905724963042),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1494317054749 36.1910573868971),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1666193008423 36.2327986689946),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.168550491333 36.2295965804472),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1699666976929 36.2277791205089),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1755242347717 36.2284368727922),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1977543830872 36.2158866975448),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.2051572799683 36.2284368727922),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1803951263428 36.2196779282546),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1754813194275 36.2226207660682),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1793007850647 36.2385967118413),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1774125099182 36.2374717520744),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1578001976013 36.2300812292971),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1629285812378 36.2295100356936),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1621775627136 36.2284195635925),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1602892875671 36.2294754177654),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1571564674377 36.2300466116217),Yes   ,75.0,Works with the Council   ,No   ,No   
None,POINT (37.1597528457642 36.2307043448334),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1538305282593 36.2313966896058),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.2022175788879 36.2185873190662),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1897077560425 36.2275021705241),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.177197933197 36.2324005786372),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1796655654907 36.2332486817407),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1753096580505 36.232712127785),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1735715866089 36.2299254496372),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1717476844788 36.230098538129),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1721339225769 36.2314313066835),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1722197532654 36.2316519901936),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1707391738892 36.2279695230546),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1700739860535 36.2275194799268),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1717262268066 36.229683125105),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.187819480896 36.215021093996),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.198634147644 36.2231054581478),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1876156330109 36.2155491132999),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1861028671265 36.2152115275984),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1877551078796 36.2178948608966),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1912741661072 36.2155750813704),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1879696846008 36.2285234187334),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1586585044861 36.2279175951336),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1590232849121 36.2278310485219),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1711039543152 36.2335083033007),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1949648857117 36.2320197946597),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1959948539734 36.2156962655857),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1337461471558 36.2380428875176),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1569043397903 36.1847795532978),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1326732635498 36.1808480743887),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1325659751892 36.1820950846607),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1211129426956 36.1812161176796),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1231138706207 36.1791767031012),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1241760253906 36.1849743901824),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1281135082245 36.1928800291466),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1565771102905 36.1577574793366),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1529293060303 36.1595115986036),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1442013978958 36.1932393574104),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1425223350525 36.1921137452933),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1326786279678 36.1875115551425),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1239560842514 36.1896070355585),Yes   ,20.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1163761615753 36.1909621407676),Yes   ,20.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1407198905945 36.1762322317122),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1400332450867 36.1764660614261),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1510624885559 36.1834070219562),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1549624204636 36.1831255851137),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1537500619888 36.1802462116344),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1299910545349 36.181592819022),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.131804227829 36.1800383730624),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1295082569122 36.1740324661684),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1245139837265 36.173898226508),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1245622634888 36.181592819022),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1205389499664 36.1768990775723),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1186506748199 36.1918756329644),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1420073509216 36.181341684995),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1416211128235 36.1767172110824),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1424043178558 36.1762755335637),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1364766359329 36.171460221049),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1768170595169 36.200165845042),Yes   ,75.0,Works with the Council   ,No   ,No   
None,POINT (37.1727240085602 36.1991961736626),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1735018491745 36.2031267315271),Yes   ,75.0,Works with the Council   ,No   ,No   
None,POINT (37.170352935791 36.2030791158177),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1714097261429 36.2049923787968),Yes   ,75.0,Works with the Council   ,No   ,No   
None,POINT (37.1699130535126 36.1982438061527),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1662974357605 36.1966507291478),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1732068061829 36.2019579739249),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1666783094406 36.1957849128319),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1670967340469 36.1942956863721),Yes   ,75.0,Works with the Council   ,No   ,No   
None,POINT (37.1603322029114 36.1930402118293),Yes   ,75.0,Works with the Council   ,No   ,No   
None,POINT (37.1550697088242 36.1965035410496),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1515291929245 36.2018930424353),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1588677167892 36.1918669743207),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1236449480057 36.2185310570687),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1186131238937 36.2146618657114),Yes   ,15.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1330541372299 36.2241310913069),Yes   ,15.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1401995420456 36.2095156312945),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.1453064680099 36.2161247368418),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1142840385437 36.2279954870022),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1454727649689 36.2239623171546),Yes   ,15.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1640014648438 36.2168994415399),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.175395488739 36.2161723446143),"No, it appears destroyed   ",0.0,Closed   ,Yes   ,No   
None,POINT (37.1660077571869 36.2084595076937),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.166930437088 36.205697936825),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1149867773056 36.1816404477983),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1469908952713 36.1990879506654),"No, it appears destroyed   ",0.0,Closed   ,Yes   ,Yes   
None,POINT (37.1511858701706 36.2146661937729),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1505850553513 36.2140039975892),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1514970064163 36.2162589041264),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1614211797714 36.2131989672299),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1631699800491 36.2139304198895),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1556276082993 36.2122510982865),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1613031625748 36.2156659695495),Yes   ,15.0,Very busy   ,No   ,No   
None,POINT (37.1646612882614 36.2185180735251),Yes   ,15.0,Very busy   ,No   ,No   
None,POINT (37.1657824516296 36.2157914816232),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1402209997177 36.2093987658597),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1411490440369 36.2045595179628),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1529239416122 36.2103596542534),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.0998859405518 36.2019709602163),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1065539121628 36.1961485568507),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1665227413177 36.2162978558757),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.148745059967 36.1885289958181),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1519422531128 36.185957226634),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.159715294838 36.1845414186695),Yes   ,60.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1731585264206 36.1877713284864),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1766883134842 36.1893689156076),Yes   ,60.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1964347362518 36.2010402705403),Yes   ,60.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1877121925354 36.1954385836247),Yes   ,60.0,Works with the Council   ,No   ,Yes   
None,POINT (37.183495759964 36.1984948859844),Yes   ,60.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1841716766357 36.2009407077337),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1818649768829 36.1998281929782),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1768975257874 36.200148529587),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1755886077881 36.2079920385986),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.176285982132 36.2084248804491),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1830880641937 36.2082604008279),Yes   ,60.0,Very busy   ,No   ,Yes   
None,POINT (37.1950614452362 36.2098272716009),Yes   ,60.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1947395801544 36.2066761846728),Yes   ,60.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1899545192719 36.2082950281453),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1912741661072 36.207680390984),Yes   ,60.0,Works with the Council   ,No   ,Yes   
None,POINT (37.109831571579 36.2152028715356),Yes   ,20.0,Very busy   ,No   ,Yes   
None,POINT (37.1186292171478 36.2146575376498),Yes   ,20.0,Very busy   ,No   ,Yes   
None,POINT (37.1286821365356 36.2243344853143),Yes   ,20.0,Very busy   ,No   ,Yes   
None,POINT (37.1704280376434 36.2030228426691),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1750843524933 36.204117997446),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1726810932159 36.199066306048),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1768546104431 36.2001615161786),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1365892887115 36.2177217453966),Yes   ,20.0,Very busy   ,No   ,Yes   
None,POINT (37.133064866066 36.224122436231),Yes   ,20.0,Very busy   ,No   ,Yes   
None,POINT (37.1401834487915 36.2094810045172),Yes   ,20.0,Very busy   ,No   ,Yes   
None,POINT (37.1453064680099 36.2161420487624),Yes   ,20.0,Very busy   ,No   ,Yes   
None,POINT (37.1142572164536 36.2279998143259),Yes   ,20.0,Very busy   ,No   ,Yes   
None,POINT (37.142972946167 36.2254639615613),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1454566717148 36.2239450069645),Yes   ,20.0,Very busy   ,No   ,Yes   
None,POINT (37.1232265233994 36.2263683962979),Yes   ,20.0,Very busy   ,No   ,Yes   
None,POINT (37.1616947650909 36.2119134983556),Yes   ,15.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1610403060913 36.2046331044735),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1576178073883 36.2099441363958),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1612656116486 36.2102904014303),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1625906229019 36.2108790484726),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1595704555511 36.2081695040469),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1622204780579 36.2067454406941),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1626281738281 36.204996707393),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1637547016144 36.1948931120169),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1598386764526 36.1912305613812),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1514916419983 36.2017848231663),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1550858020782 36.1965468316954),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1596884727478 36.1933778931681),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1603482961655 36.193079175135),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1669840812683 36.1943259906813),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1667051315308 36.1956117484198),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1698862314224 36.198230819243),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1713936328888 36.2049793930066),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1758085489273 36.2036808031078),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1734374761581 36.2031656898133),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1731960773468 36.2019233438038),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.16657102108 36.2164276948997),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1149063110352 36.1816707570046),Yes   ,20.0,Somewhat busy   ,No   ,No   
None,POINT (37.1669143438339 36.2057282367206),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1659862995148 36.2084595076937),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1065163612366 36.196152885936),Yes   ,20.0,Somewhat busy   ,No   ,No   
None,POINT (37.0998376607895 36.2019839465056),Yes   ,20.0,Somewhat busy   ,No   ,No   
None,POINT (37.1528649330139 36.2103423410533),Yes   ,20.0,Somewhat busy   ,No   ,No   
None,POINT (37.1411275863647 36.204563846583),Yes   ,20.0,Somewhat busy   ,No   ,No   
None,POINT (37.1402156352997 36.2093857808006),Yes   ,20.0,Very busy   ,No   ,No   
None,POINT (37.175395488739 36.2161290648223),"No, it appears destroyed   ",0.0,Closed   ,Yes   ,No   
None,POINT (37.1640336513519 36.216951376776),Yes   ,20.0,Somewhat busy   ,No   ,No   
None,POINT (37.1658897399902 36.2157914816232),Yes   ,20.0,Somewhat busy   ,No   ,No   
None,POINT (37.164580821991 36.2185353849161),Yes   ,20.0,Very busy   ,No   ,No   
None,POINT (37.1612763404846 36.2157135776011),Yes   ,20.0,Very busy   ,No   ,No   
None,POINT (37.1556758880615 36.2122770674516),Yes   ,20.0,Somewhat busy   ,No   ,No   
None,POINT (37.163153886795 36.2139260917874),Yes   ,20.0,Somewhat busy   ,No   ,No   
None,POINT (37.161346077919 36.2132206079393),Yes   ,20.0,Somewhat busy   ,No   ,No   
None,POINT (37.1514272689819 36.2162026404544),Yes   ,20.0,Somewhat busy   ,No   ,No   
None,POINT (37.1505528688431 36.214064590937),Yes   ,20.0,Somewhat busy   ,No   ,No   
None,POINT (37.1511912345886 36.2146272412113),Yes   ,20.0,Somewhat busy   ,No   ,No   
None,POINT (37.1470338106155 36.1991398977227),"No, it appears destroyed   ",0.0,Closed   ,Yes   ,Yes   
None,POINT (37.1236342191696 36.2185526963033),Yes   ,20.0,Very busy   ,No   ,Yes   
None,POINT (37.1360421180725 36.2353472646711),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1338212490082 36.2380818284186),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1326196193695 36.2341746613588),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1897238492966 36.227597372192),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1959465742111 36.2156832815716),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1879911422729 36.2284931276649),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.2021853923798 36.2185526963033),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1949166059494 36.2320587385607),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1538412570953 36.231357745375),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1598064899445 36.2306567459051),Yes   ,65.0,Works with the Council   ,No   ,Yes   
